code_commune_insee;nom_de_la_commune;code_postal;ligne_5;libelle_d_acheminement;coordonnees_gps
36024;BRETAGNE;36110;;BRETAGNE;46.999778071,1.697811706
12170;NAUSSAC;12700;;NAUSSAC;44.507317833,2.096902545
54490;SAIZERAIS;54380;;SAIZERAIS;48.791592211,6.040812855
37155;MONTHODON;37110;;MONTHODON;47.64307974,0.8224371020000001
08300;LE MONT DIEU;08390;;LE MONT DIEU;49.549272684,4.860048011
36028;LA BUXERETTE;36140;;LA BUXERETTE;46.495791598,1.798056713
12175;OLS ET RINHODES;12260;;OLS ET RINHODES;44.461376741,1.9473799770000002
54501;SERANVILLE;54830;;SERANVILLE;48.459962738,6.516874288
37156;MONTLOUIS SUR LOIRE;37270;;MONTLOUIS SUR LOIRE;47.382673031,0.841073603
08301;MONTGON;08390;;MONTGON;49.512671245,4.719072954
36035;CHAILLAC;36310;;CHAILLAC;46.425936147,1.2917831610000001
12176;ONET LE CHATEAU;12850;QUATRE SAISONS;ONET LE CHATEAU;44.382639797,2.559641941
54509;SOMMERVILLER;54110;;SOMMERVILLER;48.636409359,6.375800161
37161;MOSNES;37530;;MOSNES;47.446011291,1.098117199
08303;MONTHOIS;08400;;MONTHOIS;49.309350999,4.703693701
36037;LA CHAMPENOISE;36100;;LA CHAMPENOISE;46.939656429,1.792747531
12177;PALMAS D AVEYRON;12310;PALMAS;PALMAS D AVEYRON;44.422304293,2.8594292770000003
54522;THOREY LYAUTEY;54115;;THOREY LYAUTEY;48.443900787,6.031440814
37162;MOUZAY;37600;;MOUZAY;47.1041706,0.9004937340000001
08306;MONT LAURENT;08130;;MONT LAURENT;49.463955157,4.478128469
36043;CHASSIGNOLLES;36400;;CHASSIGNOLLES;46.529065993,1.9358741670000001
12179;PEUX ET COUFFOULEUX;12360;;PEUX ET COUFFOULEUX;43.763647526,2.880842845
54525;TIERCELET;54190;;TIERCELET;49.460348352,5.8835967270000005
37172;NOTRE DAME D OE;37390;;NOTRE DAME D OE;47.454426495,0.70909288
08308;MONT ST MARTIN;08400;;MONT ST MARTIN;49.33231408,4.641365744
36047;LA CHATRE LANGLIN;36170;;LA CHATRE LANGLIN;46.409769736,1.387788852
12182;PIERREFICHE;12130;;PIERREFICHE;44.43377283,2.921409778
54526;TOMBLAINE;54510;;TOMBLAINE;48.685821716,6.221164065
37175;NOUZILLY;37380;;NOUZILLY;47.537120176,0.740754095
08319;NEUVILLE LEZ BEAULIEU;08380;;NEUVILLE LEZ BEAULIEU;49.906248442,4.352729872
36048;CHAVIN;36200;;CHAVIN;46.561865648,1.6117494190000001
12186;POUSTHOMY;12380;;POUSTHOMY;43.856183828,2.598577623
54547;VANDOEUVRE LES NANCY;54500;;VANDOEUVRE LES NANCY;48.657557634,6.164619503
37176;NOYANT DE TOURAINE;37800;;NOYANT DE TOURAINE;47.102025709,0.567351975
08321;NEUVILLE DAY;08130;;NEUVILLE DAY;49.500340998,4.691771742
36067;DUNET;36310;;DUNET;46.469582026,1.285496698
12188;PRADES SALARS;12290;;PRADES SALARS;44.249414825,2.793046114
54548;VANNES LE CHATEL;54112;;VANNES LE CHATEL;48.571044203,5.784982334
37179;PARCAY MESLAY;37210;;PARCAY MESLAY;47.45216403,0.7425722330000001
08323;LA NEUVILLE LES WASIGNY;08270;;LA NEUVILLE LES WASIGNY;49.647201694,4.359967331
36068;DUN LE POELIER;36210;;DUN LE POELIER;47.218945995,1.747791113
12198;RIEUPEYROUX;12240;;RIEUPEYROUX;44.308114257,2.229383105
54549;VARANGEVILLE;54110;;VARANGEVILLE;48.641740825,6.321057878
37180;PARCAY SUR VIENNE;37220;;PARCAY SUR VIENNE;47.091781038,0.479719967
08326;NOUART;08240;;NOUART;49.450466057,5.055375174
